계정명,고객 ID,검색 키워드,노출수,클릭수,비용,전환,전환 가치
NHN-COMMERCE_인케이스,837-077-3952,인 케이스,"2,802",803,"148,994",67,"4,325,400"
NHN-COMMERCE_네이티브유니온,704-136-0197,네이티브유니온,149,42,"33,007",15,"786,900"
NHN-COMMERCE_인케이스,837-077-3952,incase,"1,160",212,"56,531",14,"793,700"
NHN-COMMERCE_인케이스,837-077-3952,인 케이스 코리아,90,36,"12,466",6,"1,119,600"
NHN-COMMERCE_인케이스,837-077-3952,인 케이스 시티 컴팩트 백팩,17,2,"1,224",3,"191,000"
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네에어팟프로케이스,19,3,"1,285",3,"83,300"
NHN-COMMERCE_인케이스,837-077-3952,인케이스백팩,405,48,"20,763",3,"238,900"
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네케이스,29,8,"6,274",3,"114,100"
NHN-COMMERCE_인케이스,837-077-3952,incase arc travel pack,12,2,848,2,"270,100"
NHN-COMMERCE_인케이스,837-077-3952,incase korea,50,31,"4,624",2,"97,200"
NHN-COMMERCE_네이티브유니온,704-136-0197,메종드키츠네,260,14,"12,547",2,"72,500"
NHN-COMMERCE_인케이스,837-077-3952,아크백팩,1,1,81,2,"179,000"
NHN-COMMERCE_인케이스,837-077-3952,인 케이스 슬리브,28,3,"1,017",2,"54,100"
NHN-COMMERCE_인케이스,837-077-3952,인케이스 맥북슬리브,77,10,"2,105",1,"63,200"
NHN-COMMERCE_인케이스,837-077-3952,인케이스가방,125,23,"7,525",1,"10,000"
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네아이폰,10,2,"5,921",1,"1,000"
NHN-COMMERCE_인케이스,837-077-3952,노트북 파우치,464,13,"5,616",1,"10,000"
NHN-COMMERCE_인케이스,837-077-3952,맥북 프로 15 인치 케이스,13,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,조립컴퓨터 사이트 순위,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,Travel Luggage Tag - Black,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,인케이스시티,29,4,610,0,0
NHN-COMMERCE_인케이스,837-077-3952,m2 외장케이스,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,남자가방,47,1,2,0,0
NHN-COMMERCE_인케이스,837-077-3952,여행용크로스백,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,애플 맥북 프로 16 인치 m1,30,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,남성노트북백팩,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,15인치그램노트북파우치,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,컴퓨터 구매,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,맥북 m1x,5,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종에어팟케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,브로셔 인쇄,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 7 액정 케이블,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,목공소 주문 제작 가격,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,애플아이패드케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네케이스아이폰13,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아크릴 판,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이패드9.7케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰케이스메종,2,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,서류 봉투 제작,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아크릴 업체,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,레플리카 스니커즈,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,에폭시 키링 제작,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,레플리카 순위,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,뱃지 주문 제작,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,삼성전자 갤럭시탭,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,제본 테이프,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네남자지갑,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,스티커 만드는 방법,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,에어 자켓 맥 세이프,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,맥북프로거치대,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네직구,1,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,수첩 소량 제작,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,신발 레플리카 사이트 순위,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,골든 구스 레플리카,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,책 소량 인쇄,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,남자친구 생일선물 추천,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아크릴 퍼티,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,리무버 블 스티커,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,남성화장품 추천,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 마그네틱 충전기,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,제품 케이스 제작,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 5s 케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,mini itx 케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,백팩 가방,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,노트북가죽파우치,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 핑거 스트랩,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네울가디건,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,맥북프로15인치케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,책 표지 만들기,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키즈네케이스정품,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,투명 스티커 소량,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아크릴 케이스 제작,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,maison kitsuné case for airpods,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,맥북 라이트닝 케이블,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네칠랙스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,엽서 제작 사이트,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,pet 인쇄,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,마르지엘라 직구,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,캐릭터 굿즈,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,충무로 인쇄소,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,갤럭시 a5 케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,휴대폰 쇼핑몰,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,나이키 신발 신상,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,삼성 휴대폰,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,유포지 스티커,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,특이한 케이스,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,맥북 거치대,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,eo travel,24,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,Campus Compact Backpack - Carbon,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,디스커버리 책가방,1,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,남자 가방,5,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,아이패드슬리브,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,백팩여행가방,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,여행용캐리어기내용,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,여성 백,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,인케이스컴팩트백팩,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,샤넬 클래식 가격,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,노트북 15 인치 파우치,0,0,0,0,0
NHN-COMMERCE_인케이스,837-077-3952,남성가방,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,엘라고 맥북 케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 카드 케이스 교통 카드,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,열쇠 고리 부자재,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 출시,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,elago w3,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 11 프로 정품 케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네폭스가디건,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,맥북액세서리,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 13 프로 맥스 케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이폰 초슬림 케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네여성셔츠,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네여성니트,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,메종키츠네가디건직구,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,아이패드PRO10.5케이스,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,명품 키링,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,포트폴리오 작성,0,0,0,0,0
NHN-COMMERCE_네이티브유니온,704-136-0197,금속 키링,0,0,0,0,0
