광고 계정 이름,광고 계정 ID,기간,결과,결과 유형,결과당 비용,결과당 비용 유형,총 비용,시작일,종료일,노출,CPM,클릭,CPC,CTR,총 전환,구매완료수,회원가입수,장바구니 도달수,"신청,예약수",기타 전환수,전환 매출액,구매완료 전환 매출액,회원가입 전환 매출액,장바구니 전환 매출액,"신청,예약 전환 매출액",기타 전환 매출액,총 전환율,총 전환당 비용,광고 수익률,전환수(네이버페이),전환 매출액(네이버페이)
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.28.,0,복합 전환,0,복합 전환,27625,2020.11.05.,진행 중,25311,1091,114,242,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.27.,0,복합 전환,0,복합 전환,27044,2020.11.05.,진행 중,27120,997,105,258,0.39,2,0,0,1,0,0,59001,0,0,1,0,0,1.9,13522,218.17,1,59000
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.26.,0,복합 전환,0,복합 전환,27964,2020.11.05.,진행 중,29503,948,115,243,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.25.,0,복합 전환,0,복합 전환,28394,2020.11.05.,진행 중,21204,1339,107,265,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.24.,0,복합 전환,0,복합 전환,28383,2020.11.05.,진행 중,28848,984,134,212,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.23.,0,복합 전환,0,복합 전환,27928,2020.11.05.,진행 중,29962,932,134,208,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.22.,0,복합 전환,0,복합 전환,28098,2020.11.05.,진행 중,28834,974,164,171,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.21.,0,복합 전환,0,복합 전환,28305,2020.11.05.,진행 중,31419,901,201,141,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.20.,0,복합 전환,0,복합 전환,29204,2020.11.05.,진행 중,31456,928,238,123,0.76,2,0,0,1,0,0,35001,0,0,1,0,0,0.84,14602,119.85,1,35000
NHN고도_네이티브유니온(엔에이치엔위투),19044,2022.02.19.,0,복합 전환,0,복합 전환,29371,2020.11.05.,진행 중,26077,1126,223,132,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
