캠페인유형,월,캠페인,키워드,전환 유형,전환수,전환매출액(원)
파워링크,2,00.네이티브유니온_PC_파워링크,네이티브유니온아이폰12케이스,구매완료,1,"59,000"
파워링크,2,00.네이티브유니온_PC_파워링크,네이티브유니온아이폰12케이스,회원가입,1,1
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네네이티브유니온,구매완료,1,"59,000"
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네아이폰12미니케이스,회원가입,1,1
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네아이폰케이스,구매완료,1,"59,000"
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네아이폰케이스,회원가입,1,1
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네에어팟,구매완료,1,"42,000"
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네에어팟케이스,구매완료,1,"42,000"
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네에어팟케이스,회원가입,2,2
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네에어팟프로케이스,구매완료,6,"236,400"
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네에어팟프로케이스,회원가입,6,6
파워링크,2,00.네이티브유니온_PC_파워링크,메종키츠네케이스,회원가입,1,1
파워링크,2,00.네이티브유니온_PC_파워링크,에어팟프로메종키츠네,회원가입,1,1
파워링크,2,00.네이티브유니온_PC_파워링크,에어팟프로메종키츠네케이스,구매완료,1,"39,000"
파워링크,2,00.네이티브유니온_PC_파워링크,에어팟프로메종키츠네케이스,회원가입,2,2
파워링크,2,00.네이티브유니온_PC_파워링크,키츠네에어팟프로케이스,구매완료,1,"42,000"
파워링크,2,00.네이티브유니온_PC_파워링크,키츠네에어팟프로케이스,회원가입,1,1
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네네이티브유니온,장바구니,1,1
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네아이폰12프로,회원가입,1,1
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네아이폰12프로,장바구니,2,2
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네아이폰케이스,구매완료,4,"212,400"
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네아이폰케이스,회원가입,3,3
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네아이폰케이스,장바구니,7,7
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네에어팟,구매완료,1,"39,000"
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네에어팟,회원가입,1,1
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네에어팟,장바구니,4,4
파워링크,2,00-1.네이티브유니온_Mobile_파워링크,메종키츠네에어팟케이스,구매완료,3,"165,000"
